titulo_documento_origem,titulo_documento_destino,Recomendacoes
São Luís - Teatro Arthur Azevedo,1.º Distrito Congressional da Califórnia,1
Patagônia - Roteiro,10.º Distrito Congressional da Geórgia,3
Revele sua Foto - Abismo Anhumas,10.º Distrito Congressional da Geórgia,3
Revelando a Foto - Laguna de Los Tres,10.º Distrito Congressional da Geórgia,3
Caburé - Passeando entre o Rio e o Mar,10.º Distrito Congressional da Geórgia,2
El Chalten - Trilha para a Laguna del Diablo,10.º Distrito Congressional da Geórgia,2
Revelando a Foto - Old Faithful Geyser,10.º Distrito Congressional do Alabama,1
Santa Catarina na Bagagem e a Praia do Rosa,10.º Distrito Congressional do Alabama,1
Vídeo - Episódio Cachoeira da Farofa na Serra do Cipó,10.º Distrito Congressional do Alabama,1
Revelando a Foto - Inspiration Point no Bryce Canyon,108.º Congresso dos Estados Unidos,5
Revelando a Foto - Vassouras,108.º Congresso dos Estados Unidos,5
Revelando a Foto - Alamo Square em San Francisco,108.º Congresso dos Estados Unidos,4
Revelando a Foto - Animal Dentro de Jaula,108.º Congresso dos Estados Unidos,4
Revelando a Foto - Denali Park Road,108.º Congresso dos Estados Unidos,4
Inhotim - Em Busca da Flor Cadáver,109º Congresso dos Estados Unidos,10
Revelando a Foto - Metropolitan,109º Congresso dos Estados Unidos,7
Revelando a Foto - Montserrat,109º Congresso dos Estados Unidos,4
Revelando a Foto - Government Gardens em Rotorua,109º Congresso dos Estados Unidos,3
Revelando a Foto - Central Park em NY,109º Congresso dos Estados Unidos,2
#EncontroBSB - I Encontro de Blogueiros de Viagens em Brasília,11.º Distrito Congressional da Califórnia,1
Livro - Papo de Viagem & Outras Histórias de Bar,11.º Distrito Congressional da Califórnia,1
Revelando a Foto - Amanhecer no John Moulton Barn,11.º Distrito Congressional da Califórnia,1
Revelando a Foto - Futebol Americano em BH,11.º Distrito Congressional da Califórnia,1
Washington DC - Hotel Capital Hilton,11.º Distrito Congressional da Califórnia,1
Revelando a Foto - Visão de Formiga em Tiradentes,110.º Congresso dos Estados Unidos,4
Revelando a Foto - Seward Highway,110.º Congresso dos Estados Unidos,3
Aplicativo - The Weather Channel - Previsão Meteorológica ,110.º Congresso dos Estados Unidos,3
Revelando a Foto - Denali Park Road,110.º Congresso dos Estados Unidos,2
Revelando a Foto - Urso no Denali National Park,110.º Congresso dos Estados Unidos,2
Revelando a Foto - Animal Dentro de Jaula,112º Congresso dos Estados Unidos,4
Curitiba - Cupcake Company,112º Congresso dos Estados Unidos,3
Curitiba - Hotel CWB Express,112º Congresso dos Estados Unidos,3
Curitiba - Mercado Municipal,112º Congresso dos Estados Unidos,3
Curitiba - Mercearia Bresser,112º Congresso dos Estados Unidos,3
Revelando a Foto - Passeio no deserto de Dubai,12.º Distrito Congressional da Califórnia,1
Washington DC - Hotel Capital Hilton,12.º Distrito Congressional da Califórnia,1
Revelando a Foto - Pássaro em San Francisco,13.º Distrito Congressional da Califórnia,2
São Luís - Centro de Cultura Popular Domingos Vieira Filho,13.º Distrito Congressional da Califórnia,2
Dicas - Como se Comportar em Habitats de Ursos,13.º Distrito Congressional da Califórnia,1
Revelando a Foto - Amanhecer no John Moulton Barn,13.º Distrito Congressional da Califórnia,1
Revelando a Foto - Especial de Natal,13.º Distrito Congressional da Califórnia,1
Washington DC - Hotel Capital Hilton,16.º Distrito Congressional da Califórnia,3
Blogs de Viagens,16.º Distrito Congressional da Califórnia,1
Islândia - Como se Manter Conectado,16.º Distrito Congressional da Califórnia,1
Revelando a Foto - Amanhecer no John Moulton Barn,17.º Distrito Congressional da Califórnia,1
Santiago - Restaurante Fukai Sushi Lounge and Asian Bistro,17.º Distrito Congressional da Califórnia,1
Revelando a Foto - Pão de Açúcar,2.º Distrito Congressional de Nova Hampshire,6
Revelando a Foto - Basílica de Nossa Senhora Aparecida,2.º Distrito Congressional de Nova Hampshire,5
#TchÊncontro - Encontro de Blogueiros em Porto Alegre,2.º Distrito Congressional de Nova Hampshire,4
Revelando a Foto - Trekking no Glaciar Perito Moreno,2.º Distrito Congressional de Nova Hampshire,3
Barreirinhas - Restaurante Barlavento,2.º Distrito Congressional de Nova Hampshire,1
Revelando a Foto - Futebol Americano em BH,21º Regimento Voluntário da Infantaria de Massachusetts,3
Revelando a Foto - Antelope Canyon,21º Regimento Voluntário da Infantaria de Massachusetts,2
Revelando a Foto - Parque das Aves,21º Regimento Voluntário da Infantaria de Massachusetts,2
Revelando a Foto - Pescador na Praia Vermelha,21º Regimento Voluntário da Infantaria de Massachusetts,2
Revelando a Foto - Vista Aérea do Grand Canyon,21º Regimento Voluntário da Infantaria de Massachusetts,2
Dicas - Como se Comportar em Habitats de Ursos,22.º Distrito Congressional da Califórnia,1
Revelando a Foto - Romance em NY,22.º Distrito Congressional da Califórnia,1
Revelando a Foto - Yellowstone National Park,22.º Distrito Congressional da Califórnia,1
Praia do Rosa - Trilha para o Mirante do Canto Sul,22º Regimento Voluntário da Infantaria de Massachusetts,3
Revelando a Foto - Futebol Americano em BH,22º Regimento Voluntário da Infantaria de Massachusetts,3
Seward - Alaska SeaLife Center,22º Regimento Voluntário da Infantaria de Massachusetts,3
El Chaltén - Trilha para Laguna Torre,22º Regimento Voluntário da Infantaria de Massachusetts,2
Praia do Rosa - Trilha para a Praia Vermelha,22º Regimento Voluntário da Infantaria de Massachusetts,2
São João del Rei - Garden Hill Small Resort,25 de Mayo (Misiones),3
Jalapão - Transporte,25 de Mayo (Misiones),2
Curitiba - Artesanilo Café Bistrô,25 de Mayo (Misiones),1
Jalapão - Um Refresco para o Calor,25 de Mayo (Misiones),1
Revelando a Foto - Catedral de Barcelona,25 de Mayo (Misiones),1
Revelando a Foto - Dia das Crianças,25.º Distrito Congressional da Califórnia,1
Revelando a Foto - Especial de Natal,25.º Distrito Congressional da Califórnia,1
Revelando a Foto - Old Faithful Geyser,25.º Distrito Congressional da Califórnia,1
Revelando a Foto - Pássaro em San Francisco,25.º Distrito Congressional da Califórnia,1
São Luís - Centro de Cultura Popular Domingos Vieira Filho,25.º Distrito Congressional da Califórnia,1
Porque Gostamos de Voar pela LAN,26.º Distrito Congressional da Califórnia,1
Revelando a Foto - Pássaro em San Francisco,28.º Distrito Congressional da Califórnia,1
,2º Congresso dos Estados Unidos,24
Revelando a Foto - Central Park em NY,2º Congresso dos Estados Unidos,5
Washington DC - Cemitério de Arlington,2º Congresso dos Estados Unidos,4
Revelando a Foto - Alamo Square em San Francisco,2º Congresso dos Estados Unidos,3
