titulo_documento_origem,titulo_documento_destino,Recomendacoes
,Lista de universidades dos Estados Unidos,35
,Charles Rebozo,34
,2º Congresso dos Estados Unidos,24
,Rio Beaver (Rhode Island),18
,Bad Taste,14
#EncontroBSB - I Encontro de Blogueiros de Viagens em Brasília,Lista de parques estaduais do Arkansas,15
#EncontroBSB - I Encontro de Blogueiros de Viagens em Brasília,Instituto Brasília Ambiental,12
#EncontroBSB - I Encontro de Blogueiros de Viagens em Brasília,Apollo Beach,11
#EncontroBSB - I Encontro de Blogueiros de Viagens em Brasília,Geographic Names Information System,9
#EncontroBSB - I Encontro de Blogueiros de Viagens em Brasília,Andover (Flórida),8
#TchÊncontro - Encontro de Blogueiros em Porto Alegre,Greystone Mansion,12
#TchÊncontro - Encontro de Blogueiros em Porto Alegre,Pedro de Mendoza,12
#TchÊncontro - Encontro de Blogueiros em Porto Alegre,Monte Fitz Roy,11
#TchÊncontro - Encontro de Blogueiros em Porto Alegre,Corredor do Atacama,10
#TchÊncontro - Encontro de Blogueiros em Porto Alegre,Instituto Histórico e Geográfico Brasileiro,10
29 de Fevereiro - Leap Day,Urbanização na Argentina,40
29 de Fevereiro - Leap Day,Programa de Pesquisa em Biodiversidade,14
29 de Fevereiro - Leap Day,Bicentenário da Argentina,10
29 de Fevereiro - Leap Day,Lista de unidades federativas do Brasil por porcentagem de crianças e adolescentes fora da escola,10
29 de Fevereiro - Leap Day,Old Faithful,9
Alasca - Denali Morning Hostel,Dalton Highway,18
Alasca - Denali Morning Hostel,Monte Denali,16
Alasca - Denali Morning Hostel,Pedra da Mina,10
Alasca - Denali Morning Hostel,Center City (Filadélfia),9
Alasca - Denali Morning Hostel,Southwest Hunter Mountain,9
Alasca - Roteiro,Monte Denali,53
Alasca - Roteiro,Parque Nacional e Reserva de Denali,21
Alasca - Roteiro,Lista de parques estaduais do Alasca,20
Alasca - Roteiro,Parque Nacional dos Fiordes de Kenai,18
Alasca - Roteiro,Península de Kenai,15
Alasca - Vida Selvagem no Denali National Park and Preserve,Parque Nacional e Reserva de Denali,93
Alasca - Vida Selvagem no Denali National Park and Preserve,Parque Nacional de Yellowstone,28
Alasca - Vida Selvagem no Denali National Park and Preserve,Parque Nacional de Yosemite,18
Alasca - Vida Selvagem no Denali National Park and Preserve,Monte Denali,10
Alasca - Vida Selvagem no Denali National Park and Preserve,Grande Ecossistema de Yellowstone,9
Alasca - Visita ao Portage Valley,Península de Kenai,30
Alasca - Visita ao Portage Valley,Glaciar Mendenhall,22
Alasca - Visita ao Portage Valley,"Cactus Springs (Condado de Clark, Nevada)",15
Alasca - Visita ao Portage Valley,Campo de gelo de Juneau,15
Alasca - Visita ao Portage Valley,Glaciar Lyell,15
Alasca - Visitando o Denali National Park and Preserve,Parque Nacional e Reserva de Denali,119
Alasca - Visitando o Denali National Park and Preserve,Monte Denali,46
Alasca - Visitando o Denali National Park and Preserve,Parque Nacional de Yosemite,41
