id_documento_origem,titulo_documento_origem,id_documento_destino,titulo_documento_destino,distancia_destino
11,Santiago - Museu de Arte Pré-Colombiana Fechado para Reforma,5309070,Alexander (Texas),0.27856849179361726
60,Santiago - Restaurante Aquí Está Coco,2336490,Barber Motorsports Park,0.3882724876105889
111,Santiago - Palacio de la Moneda,5412010,Casablanca (vulcão),0.3410401823764598
134,Revelando a Foto - Frutillar,532625,Aldea Brasilera,0.41330206517548806
167,Revelando a Foto - Monument Valley,1448829,El Capitan (Arizona),0.34734243523970515
173,Santiago - Cerro San Cristóbal,1495540,Cerrillos (Chile),0.5161942893904015
1226,Frutillar - Museo Colonial Alemán,5367910,Rangi e Papa,0.46301303323441234
63,Bariloche - Restaurante Jauja,532772,Aldea Salto,0.33008196224713426
238,"Saltos del Petrohué, linda paisagem da Região dos Lagos do Chile",2194184,Waterwheel Falls,0.26521467323896114
282,Santiago - Catedral Metropolitana de Santiago,3657526,Abbeville (Luisiana),0.2745356171748576
304,Puerto Octay - Restaurante Rancho Espantapájaros,5411218,Predefinição:Parques nacionais do Chile,0.33631944013806453
379,29 de Fevereiro - Leap Day,5316105,Anne Manie,0.5059912078983171
392,Revelando a Foto - Arches National Park,2336490,Barber Motorsports Park,0.38253131582432365
454,Puerto Varas - Iglesia del Sagrado Corazón de Jesus,3546212,Fort Kearny,0.3519755162643135
464,Revelando a Foto - Bridalveil Falls,3050056,Predefinição:Quedas de água do Vale de Yosemite,0.54201283458526
485,Santiago - Tirando suas dúvidas - Ask me,2722834,Santiago (província do Chile),0.6006841315656377
489,Belo Horizonte - Restaurante do Porto,524087,Lista de clubes de futebol do Chile,0.34185225991699864
504,"Puerto Varas - Verão, Calor e Vulcões",6294453,Vulcão Peña Blanca,0.26915871402981617
536,Caeté - Serra da Piedade,6402442,Frente de Esquerda e dos Trabalhadores - Unidade,0.45672169823075065
566,Frutillar - Cidade Musical,1989743,Congresso de Tucumã,0.39631504520765454
582,Santiago - Cerro Santa Lucía,5412010,Casablanca (vulcão),0.3509951357844074
619,Santiago - Restaurante Backstage Experience,1846880,Planícies Interiores,0.5447225445380006
631,Revelando a Foto - Mesa Arch,2186300,Charles Leander Weed,0.1695925711553374
663,Frutillar - Um Pedaço da Alemanha no Chile,1750328,Ilha Herbert,0.4055270217448143
407,Aplicativo - The Weather Channel - Previsão Meteorológica ,3322761,Channeled Scabland,0.24503774989521643
694,Frutillar - Em Preto e Branco,1989743,Congresso de Tucumã,0.49399244778184603
705,Revelando a Foto - Grand Canyon National Park,4622830,Portal:Nova Zelândia/Imagem selecionada/2,0.16273657560577495
732,Bariloche - Cervejaria Antares,2651814,Missões diplomáticas da Nova Zelândia,0.3827818254909819
752,Puerto Montt - Palafitos de Angelmó - Restaurante 15,4188914,Point Hope (Alasca),0.6098202765812353
768,Parque Nacional Lanín - Passeando entre Lagos e o Vulcão Lanín,2178065,Parque Nacional Lihué Calel,0.34488851401027304
777,Parque Nacional Lanín - Navegando pelos Lagos Huechulafquen e Epulafquen,3160929,Parque Nacional Huerquehue,0.2855875855112509
783,Puerto Montt - Palafitos de Angelmó - Restaurante 9,4299610,Golfo de Ancud,0.6018916629057319
799,Puerto Octay - Arquitetura Alemã e Vulcões,2840706,União Cívica (Argentina),0.4802303653249909
810,Revelando a Foto - Delicate Arch,3610742,Boston (Texas),0.41601859794593177
3005,Revelando a Foto - Montserrat,2651814,Missões diplomáticas da Nova Zelândia,0.46191988532043615
848,Região dos Lagos Chilenos - Lago Todos Los Santos e Isla Margarita,5411218,Predefinição:Parques nacionais do Chile,0.3448007087828018
