id_cenario,fonte_origem,id_documento_origem,titulo_documento_origem,fonte_destino,id_documento_destino,titulo_documento_destino,distancia_destino,num_topics,passes,eta,alpha
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,11,Santiago - Museu de Arte Pré-Colombiana Fechado para Reforma,WIKIPEDIA,583521,Parque Municipal Américo Renné Giannetti,0.09963149404838666,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,60,Santiago - Restaurante Aquí Está Coco,WIKIPEDIA,607368,Serviço Nacional de Parques,0.16580226876405718,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,111,Santiago - Palacio de la Moneda,WIKIPEDIA,109063,Grand Canyon,0.1916213286894825,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,134,Revelando a Foto - Frutillar,WIKIPEDIA,2267833,Llanquihue,0.07055634363237329,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,167,Revelando a Foto - Monument Valley,WIKIPEDIA,3031496,Quebrada das Conchas,0.11599065033382346,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,173,Santiago - Cerro San Cristóbal,WIKIPEDIA,2636499,Urbanização na Argentina,0.12785147685867737,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,1226,Frutillar - Museo Colonial Alemán,WIKIPEDIA,1361566,Alexandria (Luisiana),0.15195568494430065,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,63,Bariloche - Restaurante Jauja,WIKIPEDIA,3241540,Base Capitão Arturo Prat,0.12656195605125803,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,238,"Saltos del Petrohué, linda paisagem da Região dos Lagos do Chile",WIKIPEDIA,2853263,HMS Endeavour,0.16338679835564532,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,282,Santiago - Catedral Metropolitana de Santiago,WIKIPEDIA,5884243,Praça João Lisboa,0.1439839128889429,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,304,Puerto Octay - Restaurante Rancho Espantapájaros,WIKIPEDIA,1870654,Monte Shasta,0.16908748796366666,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,379,29 de Fevereiro - Leap Day,WIKIPEDIA,2636499,Urbanização na Argentina,0.12981761644131218,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,392,Revelando a Foto - Arches National Park,WIKIPEDIA,3958949,Cachoeira da Pirapora,0.08668819288631452,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,454,Puerto Varas - Iglesia del Sagrado Corazón de Jesus,WIKIPEDIA,5555744,Praça Gonçalves Dias (São Luís),0.1066005694439889,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,464,Revelando a Foto - Bridalveil Falls,WIKIPEDIA,1291909,Kaikoura,0.10708296807142717,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,485,Santiago - Tirando suas dúvidas - Ask me,WIKIPEDIA,5447352,Charles Rebozo,0.11969889714779465,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,489,Belo Horizonte - Restaurante do Porto,WIKIPEDIA,64980,Reserva da Biosfera do Cinturão Verde de São Paulo,0.20872287789626565,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,504,"Puerto Varas - Verão, Calor e Vulcões",WIKIPEDIA,2437928,Osorno (vulcão),0.11038557304949494,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,536,Caeté - Serra da Piedade,WIKIPEDIA,1149279,Pico da Ibituruna,0.28011419843388347,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,566,Frutillar - Cidade Musical,WIKIPEDIA,4043416,Monumento Nacional (Estados Unidos),0.0751762118169873,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,582,Santiago - Cerro Santa Lucía,WIKIPEDIA,287784,Bernardo O'Higgins,0.31433240575407456,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,619,Santiago - Restaurante Backstage Experience,WIKIPEDIA,5079095,Montanhas Rochosas Canadianas,0.12388371308932718,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,631,Revelando a Foto - Mesa Arch,WIKIPEDIA,5573745,Rubicon Trail,0.15312433169666734,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,663,Frutillar - Um Pedaço da Alemanha no Chile,WIKIPEDIA,5309364,Allamoore,0.1418432540813449,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,407,Aplicativo - The Weather Channel - Previsão Meteorológica ,WIKIPEDIA,5871793,Housetrucker,0.3230217127012511,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,694,Frutillar - Em Preto e Branco,WIKIPEDIA,3476774,6º Distrito Congressional da Geórgia,0.11306294831803333,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,705,Revelando a Foto - Grand Canyon National Park,WIKIPEDIA,2025671,Regiões da Nova Zelândia,0.11397613953194151,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,732,Bariloche - Cervejaria Antares,WIKIPEDIA,588018,Monte Fitz Roy,0.21780219978650384,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,752,Puerto Montt - Palafitos de Angelmó - Restaurante 15,WIKIPEDIA,3631665,Parque do Povo (Berkeley),0.17487046266958683,57,2,0.05,1
NERDS_VIAJANTES-WIKIPEDIA-57_topics,NERDS_VIAJANTES,768,Parque Nacional Lanín - Passeando entre Lagos e o Vulcão Lanín,WIKIPEDIA,1403174,Parque Nacional e Reserva de Denali,0.28942327924673067,57,2,0.05,1
